timestamp,mission_elapsed_s,track_id,target_class,range_m,azimuth_deg,elevation_deg,radial_velocity_mps,rcs_dbsm,snr_db,doppler_hz,surface_slope_deg,regolith_roughness_index,multipath_risk,illumination_condition,confidence
2026-06-29T12:00:00,0,4108,small_rock,92.21,53.7,28.84,-0.043,-1.1,24.1,-21.9,24.7,0.55,medium,low_sun,0.8
2026-06-29T12:00:00,0,4101,boulder,72.29,27.14,14.54,-0.034,9.0,28.6,-17.6,12.4,0.113,low,low_sun,0.99
2026-06-29T12:00:00,0,4118,crater_floor,55.01,166.54,17.83,-0.034,6.5,31.5,-17.5,16.4,0.469,medium,low_sun,0.92
2026-06-29T12:00:00,0,4116,crater_floor,167.43,-36.0,15.67,0.029,9.7,25.2,15.0,33.9,0.507,medium,low_sun,0.82
2026-06-29T12:00:00,0,4103,boulder,39.61,113.4,-9.41,0.022,18.4,38.8,11.4,27.2,0.181,medium,low_sun,0.99
2026-06-29T12:00:00,0,4104,small_rock,46.06,111.94,-15.97,0.019,1.3,26.1,9.5,7.8,0.042,low,low_sun,0.83
2026-06-29T12:00:00,0,4120,crater_floor,144.5,-97.56,-16.08,-0.033,4.9,26.1,-16.8,0,0.285,low,low_sun,0.83
2026-06-29T12:00:01,1,4111,small_rock,79.12,-105.41,4.31,0.056,-0.3,27.1,28.7,15.7,0.348,medium,low_sun,0.85
2026-06-29T12:00:01,1,4118,small_rock,60.74,-16.0,-13.26,-0.02,1.3,28.8,-10.2,3.4,0.49,low,low_sun,0.88
2026-06-29T12:00:01,1,4108,crater_floor,123.67,-27.16,-7.74,0.038,10.6,30.4,19.7,22.0,0.134,medium,low_sun,0.91
2026-06-29T12:00:02,2,4106,unknown,126.47,-178.79,19.36,-0.087,10.9,26.9,-44.4,14.0,0.651,low,low_sun,0.85
2026-06-29T12:00:02,2,4111,unknown,31.99,84.92,-16.55,-0.054,6.8,34.6,-27.6,4.5,0.383,low,low_sun,0.98
2026-06-29T12:00:02,2,4108,small_rock,200.83,-130.02,13.56,-0.053,-3.7,15.4,-27.2,8.1,0.397,low,low_sun,0.66
2026-06-29T12:00:02,2,4117,small_rock,61.64,9.37,28.94,0.019,3.1,33.5,9.8,7.5,0.386,low,low_sun,0.96
2026-06-29T12:00:02,2,4107,boulder,192.37,96.68,-2.83,-0.049,12.3,25.0,-24.9,2.9,0.26,low,low_sun,0.94
2026-06-29T12:00:02,2,4109,equipment,105.21,109.39,14.08,-0.053,22.2,33.3,-27.2,7.7,0.813,low,low_sun,0.99
2026-06-29T12:00:03,3,4104,shadow_edge,72.5,33.26,-3.26,0.089,-4.8,18.3,45.6,23.7,0.201,medium,low_sun,0.7
2026-06-29T12:00:03,3,4101,crater_floor,199.15,-131.21,24.23,0.025,12.5,18.4,12.9,14.0,0.303,low,low_sun,0.71
2026-06-29T12:00:03,3,4115,shadow_edge,205.92,-150.25,14.82,-0.013,-5.4,12.9,-6.6,9.0,0.365,low,low_sun,0.61
2026-06-29T12:00:03,3,4120,small_rock,183.85,-37.22,30.85,0.001,1.5,19.3,0.5,23.5,0.159,medium,low_sun,0.72
2026-06-29T12:00:03,3,4111,lander_leg,135.93,-74.96,-15.26,0.037,26.5,32.1,19.1,18.9,0.463,medium,low_sun,0.99
2026-06-29T12:00:03,3,4105,small_rock,131.18,-133.54,14.37,-0.029,0.2,19.1,-15.1,4.3,0.248,low,low_sun,0.72
2026-06-29T12:00:03,3,4109,regolith_mound,38.36,-5.65,-6.23,0.03,4.4,31.4,15.2,5.2,0.605,low,low_sun,0.92
2026-06-29T12:00:03,3,4117,shadow_edge,13.41,-130.56,30.4,0.059,-5.6,30.5,30.2,16.8,0.362,medium,low_sun,0.91
2026-06-29T12:00:03,3,4107,small_rock,176.5,60.28,10.82,0.01,0.7,23.3,5.2,16.4,0.402,medium,low_sun,0.79
2026-06-29T12:00:03,3,4118,shadow_edge,121.35,-160.09,-13.72,0.073,3.8,24.2,37.4,4.0,0.37,low,low_sun,0.8
2026-06-29T12:00:04,4,4109,crater_rim,138.27,-21.3,14.19,0.015,13.5,25.0,7.7,13.7,0.365,low,low_sun,0.82
2026-06-29T12:00:04,4,4111,regolith_mound,167.93,119.02,27.88,-0.023,-0.8,20.0,-11.9,16.3,0.332,medium,low_sun,0.73
2026-06-29T12:00:04,4,4112,crater_floor,204.69,48.41,11.97,-0.015,5.7,15.1,-7.7,12.4,0.695,low,low_sun,0.65
2026-06-29T12:00:04,4,4104,boulder,73.61,-34.36,16.31,0.027,6.4,23.3,14.1,26.4,0.485,medium,low_sun,0.91
2026-06-29T12:00:04,4,4118,shadow_edge,42.12,148.3,28.45,0.019,-9.5,22.2,9.9,8.0,0.458,low,low_sun,0.77
2026-06-29T12:00:05,5,4108,shadow_edge,63.54,-88.48,-10.64,0.016,-13.1,18.0,8.2,10.6,0.407,low,low_sun,0.7
2026-06-29T12:00:05,5,4119,boulder,129.22,169.09,10.66,-0.079,11.4,26.3,-40.5,11.4,0.345,low,low_sun,0.96
2026-06-29T12:00:05,5,4111,crater_rim,145.1,-62.57,6.64,0.007,17.7,26.4,3.6,0,0.559,low,low_sun,0.84
2026-06-29T12:00:05,5,4107,regolith_mound,124.25,-78.07,29.52,-0.015,0.3,17.5,-7.6,0,0.656,low,low_sun,0.69
2026-06-29T12:00:05,5,4114,regolith_mound,170.43,-27.95,30.37,0.046,1.5,20.0,23.6,16.5,0.693,medium,low_sun,0.73
2026-06-29T12:00:05,5,4120,crater_rim,110.45,91.21,18.23,-0.035,20.4,33.9,-18.0,12.8,0.321,low,low_sun,0.96
2026-06-29T12:00:05,5,4102,regolith_mound,6.03,-129.12,1.67,-0.009,8.9,27.8,-4.8,4.5,0.339,low,low_sun,0.86
